Field ID,Offset Range,Length (Bytes),Mean FVI,Semantic Typology
Field_00,[0 : 6],7,0.0,Static Header / Padding
Field_01,[7 : 7],1,0.1225,Status / Opcode
Field_02,[8 : 11],4,0.0167,Static Header / Padding
Field_03,[12 : 13],2,0.7396,Dynamic Address / Payload
Field_04,[14 : 16],3,0.0658,Status / Opcode
Field_05,[17 : 17],1,0.4721,Dynamic Address / Payload
Field_06,[18 : 18],1,0.0168,Static Header / Padding
Field_07,[19 : 21],3,0.1322,Status / Opcode
Field_08,[22 : 23],2,0.574,Dynamic Address / Payload
Field_09,[24 : 24],1,0.0464,Static Header / Padding
Field_10,[25 : 26],2,0.0699,Status / Opcode
Field_11,[27 : 27],1,0.4607,Dynamic Address / Payload
Field_12,[28 : 41],14,0.0,Static Header / Padding
